Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 38,24/05/24,Alanyaspor,Antalyaspor,1,1,7.03,6.78,4-2-3-1,4-2-3-1,Y. Karagöz; F. Hadergjonaj; F. Bayır; N. Lima; F. Aliti; N. Janvier; J. Novais; Carlos Eduardo; (c) E. Karaca; Y. Özdemir; U. Hwang,A. Dadakdeniz; M. Yilmaz; (c) V. Sarı; A. Gerxhaliu; G. Vural; J. Kałuziński; D. Milošević; S. v. d. Streek; R. Safuri; S. Larsson; A. Buksa
23/24,Round 38,25/05/24,Karagümrük,Samsunspor,3,1,7.01,6.74,4-2-3-1,4-2-3-1,E. Bilgin; N. Sangaré; (c) D. Biraschi; K. Günter; E. Tintiş; F. Paoletti; A. Uğur; C. Keleş; T. Teklić; R. Mendes; Marcão,J. Szumski; H. M. Tan; Y. E. Çift; Y. A. Bennasser; M. Bola; (c) O. Çelik; F. Tait; B. Raman; C. Holse; A. Muja; E. Kara
23/24,Round 38,25/05/24,Sivasspor,Kayserispor,2,1,6.94,6.78,4-1-4-1,4-2-3-1,Đ. Nikolić; M. Paluli; A. Appindangoyé; M. Albayrak; U. Çiftçi; C. Charisis; E. Başsan; A. Turgunboev; M. Caktaš; B. Koita; (c) R. Manaj,O. Piri; (c) J. Attamah; J. Jeanvier; A. Kocaman; L. Carole; K. K. Yılmaz; M. Bourabia; C. Mané; M. E. Özbek; A. B. Morte; S. Bahoken
23/24,Round 38,26/05/24,Adana DS,Başakşehir,2,6,6.35,,5-4-1,4-1-4-1,Y. Aktaş; İ. Çokçalış; A. Gravillon; (c) D. Toköz; A. Burak; Y. Atal; S. Mendoza; Maestro; É. Michut; O. Demirbağ; T. Aydoğan,D. Dilmen; O. Kemen; H. Güreler; J. Opoku; L. Dubois; O. Ergün; D. Türüç; (c) Ö. A. Şahiner; B. Özcan; Davidson; K. Piątek
23/24,Round 38,26/05/24,Fenerbahçe,İstanbulspor,6,0,7.54,6.35,4-4-2,5-4-1,D. Livaković; B. Osayi-Samuel; R. Becão; Ç. Söyüncü; F. Kadıoğlu; J. King; Fred; S. Szymański; D. Tadić; S. Dursun; (c) E. Džeko,M. Serbest; D. Sambissa; B. Vardar; O. Erdoğan; R. Coly; (c) A. Yaşar; V. Temel; M. Vorobjovas; Jackson; Ö. Şahan; M. Mamadou
23/24,Round 38,26/05/24,Hatayspor,Rizespor,2,0,7.14,6.64,4-1-4-1,4-2-3-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; Ö. F. Beyaz; M. Boudjemaa; G. Sağlam; F. Dele-Bashiru; C. Strandberg,(c) T. Çetin; M. T. Şahin; H. Alikulov; S. A. Yasar; C. Højer; M. Pala; J. Shelvey; I. Olawoyin; M. Sarıkaya; M. Minchev; A. Gaich
23/24,Round 38,26/05/24,Kasımpaşa,Beşiktaş,2,1,7.25,6.79,4-1-4-1,4-3-3,A. Gianniotis; G. Gül; J. Porozo; S. Çiftpınar; Y. Özcan; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; O. Çağlayan; N. Da Costa,E. Destanoğlu; O. Bulut; T. T. Sanuç; B. Zaynutdinov; A. Masuaku; F. Ay; D. E. Tıknaz; A. Oxlade-Chamberlain; M. Hekimoglu; (c) C. Tosun; S. Kilicsoy
23/24,Round 38,26/05/24,Konyaspor,Galatasaray,1,3,6.77,7.14,4-2-3-1,4-2-3-1,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi,(c) F. Muslera; K. Ayhan; D. Sánchez; A. Bardakcı; D. Köhn; L. Torreira; B. Kutlu; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
23/24,Round 38,26/05/24,Pendikspor,Gaziantep,0,1,6.88,6.91,4-3-3,4-3-3,E. Canpolat; (c) E. Özgenç; A. Öztürk; M. Akça; N. Sequeira; E. Çekiçi; F. Midtsjø; A. Lusamba; L. Kappel; M. U. Nayir; M. Thiam,F. Niță; Ö. Artan; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; D. Drăguş; M. Gradel
23/24,Round 38,26/05/24,Trabzonspor,Ankaragücü,4,2,7.08,6.61,4-2-3-1,4-2-3-1,M. T. Tepe; T. Meunier; R. Baniya; F. Benković; E. Elmalı; (c) B. A. Özdemir; U. Güneş; N. Pépé; E. Bardhi; M. Trézéguet; E. Destan,B. H. Güngördü; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; A. Flips; A. K. Güneren; C. Bassogog; R. Saponara; A. Chatzigiovanis; A. Sowe
23/24,Round 37,17/05/24,İstanbulspor,Sivasspor,1,3,6.85,6.93,5-4-1,4-1-4-1,M. Serbest; D. Duhaney; O. Erdoğan; M. Yeşil; S. Deli; (c) A. Yaşar; D. Sambissa; M. Vorobjovas; F. Loshaj; M. Mamadou; Jackson,Đ. Nikolić; A. Okumuş; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Elmaz; B. Koita; A. Turgunboev; C. Charisis; C. N'Jie; R. Manaj
