Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_Player_1_TeamPlayer_Age,Home_Player_1_TeamPlayer_MarketValue,Home_Player_1_TeamPlayer_Rating,Home_Player_2_TeamPlayer_Age,Home_Player_2_TeamPlayer_MarketValue,Home_Player_2_TeamPlayer_Rating,Home_Player_3_TeamPlayer_Age,Home_Player_3_TeamPlayer_MarketValue,Home_Player_3_TeamPlayer_Rating,Home_Player_4_TeamPlayer_Age,Home_Player_4_TeamPlayer_MarketValue,Home_Player_4_TeamPlayer_Rating,Home_Player_5_TeamPlayer_Age,Home_Player_5_TeamPlayer_MarketValue,Home_Player_5_TeamPlayer_Rating,Home_Player_6_TeamPlayer_Age,Home_Player_6_TeamPlayer_MarketValue,Home_Player_6_TeamPlayer_Rating,Home_Player_7_TeamPlayer_Age,Home_Player_7_TeamPlayer_MarketValue,Home_Player_7_TeamPlayer_Rating,Home_Player_8_TeamPlayer_Age,Home_Player_8_TeamPlayer_MarketValue,Home_Player_8_TeamPlayer_Rating,Home_Player_9_TeamPlayer_Age,Home_Player_9_TeamPlayer_MarketValue,Home_Player_9_TeamPlayer_Rating,Home_Player_10_TeamPlayer_Age,Home_Player_10_TeamPlayer_MarketValue,Home_Player_10_TeamPlayer_Rating,Home_Player_11_TeamPlayer_Age,Home_Player_11_TeamPlayer_MarketValue,Home_Player_11_TeamPlayer_Rating,Away_Player_1_TeamPlayer_Age,Away_Player_1_TeamPlayer_MarketValue,Away_Player_1_TeamPlayer_Rating,Away_Player_2_TeamPlayer_Age,Away_Player_2_TeamPlayer_MarketValue,Away_Player_2_TeamPlayer_Rating,Away_Player_3_TeamPlayer_Age,Away_Player_3_TeamPlayer_MarketValue,Away_Player_3_TeamPlayer_Rating,Away_Player_4_TeamPlayer_Age,Away_Player_4_TeamPlayer_MarketValue,Away_Player_4_TeamPlayer_Rating,Away_Player_5_TeamPlayer_Age,Away_Player_5_TeamPlayer_MarketValue,Away_Player_5_TeamPlayer_Rating,Away_Player_6_TeamPlayer_Age,Away_Player_6_TeamPlayer_MarketValue,Away_Player_6_TeamPlayer_Rating,Away_Player_7_TeamPlayer_Age,Away_Player_7_TeamPlayer_MarketValue,Away_Player_7_TeamPlayer_Rating,Away_Player_8_TeamPlayer_Age,Away_Player_8_TeamPlayer_MarketValue,Away_Player_8_TeamPlayer_Rating,Away_Player_9_TeamPlayer_Age,Away_Player_9_TeamPlayer_MarketValue,Away_Player_9_TeamPlayer_Rating,Away_Player_10_TeamPlayer_Age,Away_Player_10_TeamPlayer_MarketValue,Away_Player_10_TeamPlayer_Rating,Away_Player_11_TeamPlayer_Age,Away_Player_11_TeamPlayer_MarketValue,Away_Player_11_TeamPlayer_Rating
20/21,Round 42,15/05/21,anta,kony,0,0,6.96,6.75,4-2-3-1,3-4-3,35.0,25000.0,6.9,25.0,250000.0,6.41,29.0,275000.0,6.95,28.764705882352942,107267647.05882353,6.75,25.0,50000.0,6.63,28.764705882352942,107267647.05882353,6.88,24.0,200000000.0,6.81,28.764705882352942,107267647.05882353,6.7,27.0,850000.0,6.55,25.0,300000.0,6.55,28.764705882352942,107267647.05882353,6.58,30.0,150000.0,7.4,27.0,180000000.0,6.85,29.73913043478261,409386956.5217391,7.06,30.0,750000000.0,7.02,29.73913043478261,409386956.5217391,6.98,27.0,550000000.0,7.12,30.0,150000000.0,6.66,34.0,650000.0,7.12,28.0,700000.0,6.8,34.0,400000.0,6.83,28.0,280000000.0,6.95
20/21,Round 42,15/05/21,rize,başa,0,2,6.68,6.97,4-1-4-1,4-2-3-1,27.0,200000.0,6.76,30.0,140000000.0,6.62,33.0,25000.0,6.87,33.0,250000.0,6.87,27.0,275000.0,6.48,,,,30.08695652173913,59264130.43478261,6.81,30.08695652173913,59264130.43478261,6.71,33.0,200000.0,6.83,29.0,120000000.0,7.06,30.08695652173913,59264130.43478261,6.71,35.0,120000000.0,6.87,32.0,400000.0,6.76,28.0,300000000.0,6.74,21.0,220000000.0,6.35,29.0,500000.0,6.74,36.0,25000.0,6.75,32.0,500000.0,7.02,33.0,700000.0,6.89,26.0,270000000.0,6.76,35.0,300000.0,6.88,29.0,150000000.0,6.68
20/21,Round 42,15/05/21,fati,deni,5,1,7.11,6.38,4-2-3-1,5-4-1,30.473684210526315,12859210.52631579,6.76,33.0,250000.0,6.61,30.473684210526315,12859210.52631579,6.63,32.0,900000.0,6.95,30.473684210526315,12859210.52631579,6.45,22.0,50000.0,6.77,30.473684210526315,12859210.52631579,7.15,30.473684210526315,12859210.52631579,6.77,25.0,50000.0,6.79,33.0,900000.0,7.09,34.0,150000.0,6.78,30.38888888888889,225000.0,6.5,23.0,300000.0,6.51,30.38888888888889,225000.0,5.9,25.0,100000.0,6.58,30.38888888888889,225000.0,6.47,30.38888888888889,225000.0,6.58,30.38888888888889,225000.0,6.64,,,,29.0,125000.0,6.71,21.0,125000.0,6.65,34.0,150000.0,6.59
20/21,Round 42,15/05/21,hata,gazi,0,1,6.81,7.04,4-2-3-1,5-3-2,30.94736842105263,65963157.89473684,6.95,34.0,75000.0,6.78,35.0,100000.0,6.89,32.0,250000.0,7.04,30.94736842105263,65963157.89473684,6.86,32.0,125000.0,7.06,37.0,100000.0,6.93,,,,28.0,1000000000.0,6.92,30.94736842105263,65963157.89473684,7.14,37.0,100000.0,7.16,24.0,50000.0,7.8,34.0,75000.0,6.61,36.0,300000.0,6.99,27.0,50000.0,6.7,38.0,50000.0,6.69,30.0,75000.0,6.73,31.565217391304348,302173.9130434783,6.75,29.0,600000.0,6.69,31.0,200000.0,6.61,32.0,400000.0,6.69,31.565217391304348,302173.9130434783,7.1
20/21,Round 42,15/05/21,anka,alan,0,1,6.76,7.11,4-2-3-1,4-4-2,28.695652173913043,82413043.47826087,7.7,26.0,800000.0,6.77,28.695652173913043,82413043.47826087,6.74,28.695652173913043,82413043.47826087,6.65,27.0,300000.0,6.78,24.0,140000000.0,6.48,27.0,800000.0,6.67,30.0,400000000.0,6.69,24.0,300000.0,6.5,26.0,1000000000.0,6.86,27.0,100000000.0,6.82,30.31578947368421,117006578.94736843,7.07,30.31578947368421,117006578.94736843,7.03,27.0,140000000.0,6.89,30.31578947368421,117006578.94736843,7.09,31.0,550000.0,6.76,35.0,350000.0,6.86,26.0,380000000.0,6.92,24.0,230000000.0,6.79,29.0,180000000.0,6.76,33.0,750000.0,6.99,28.0,450000000.0,6.79
20/21,Round 42,15/05/21,siva,kası,2,1,7.05,6.66,4-1-4-1,4-2-3-1,34.0,175000.0,6.91,33.0,75000.0,6.66,36.0,100000.0,6.71,32.0,100000000.0,6.84,36.0,50000.0,6.88,32.869565217391305,14211956.52173913,6.72,31.0,500000.0,6.51,36.0,100000.0,6.89,36.0,850000.0,7.38,37.0,650000.0,7.04,31.0,500000.0,6.81,23.0,800000.0,8.1,28.0,125000.0,6.58,29.0,100000000.0,6.66,30.0,150000.0,6.72,24.0,400000000.0,6.97,30.0,300000.0,6.76,26.0,180000000.0,6.94,30.0,300000.0,6.67,30.0,200000000.0,7.06,29.0,100000.0,6.55,28.0,500000.0,6.7
20/21,Round 42,15/05/21,gala,yeni,3,1,7.1,6.79,4-1-4-1,4-4-2,38.0,100000000.0,6.98,31.0,200000000.0,6.88,29.444444444444443,280138888.8888889,6.96,28.0,400000000.0,7.11,26.0,180000000.0,7.01,29.0,120000000.0,7.11,29.444444444444443,280138888.8888889,6.85,25.0,1700000000.0,7.14,32.0,100000000.0,6.88,29.444444444444443,280138888.8888889,6.95,25.0,900000.0,6.81,35.0,300000.0,6.88,29.818181818181817,28885227.272727273,6.67,29.818181818181817,28885227.272727273,6.91,29.0,150000000.0,6.83,28.0,500000.0,6.89,35.0,150000.0,6.71,33.0,350000.0,7.0,28.0,200000.0,6.67,33.0,250000.0,6.69,27.0,100000000.0,6.87,29.818181818181817,28885227.272727273,7.21
20/21,Round 42,15/05/21,gözt,beşi,1,2,6.73,6.83,4-1-4-1,4-1-4-1,26.0,100000000.0,6.88,30.0,800000.0,6.73,31.0,175000.0,6.88,31.0,250000.0,6.99,29.56,53788000.0,6.94,28.0,300000000.0,6.93,31.0,100000000.0,6.97,30.0,300000.0,6.71,33.0,125000.0,7.0,28.0,400000000.0,6.73,29.56,53788000.0,6.78,23.0,200000000.0,6.7,28.0,250000000.0,7.0,35.0,100000.0,7.13,35.0,900000.0,7.02,34.0,100000.0,6.79,28.833333333333332,138888541.66666666,7.21,32.0,120000000.0,7.48,28.833333333333332,138888541.66666666,7.03,32.0,75000.0,6.65,29.0,500000000.0,6.94,29.0,350000000.0,6.96
20/21,Round 42,15/05/21,kays,fene,1,2,6.58,6.87,5-4-1,4-1-4-1,22.0,200000000.0,7.01,36.0,100000.0,6.75,30.0,500000.0,6.76,29.137931034482758,62970689.655172415,6.81,31.0,200000.0,6.82,34.0,400000.0,6.74,28.0,600000.0,6.71,29.0,375000.0,7.06,28.0,170000000.0,6.93,18.0,900000000.0,6.82,29.137931034482758,62970689.655172415,6.77,26.0,1000000000.0,6.95,30.0,400000.0,7.12,34.0,200000.0,7.07,26.0,200000000.0,7.11,36.0,175000.0,7.42,39.0,150000.0,7.18,26.0,800000000.0,6.58,29.0,250000000.0,7.12,31.0,180000000.0,6.88,25.0,3000000000.0,6.64,35.0,200000000.0,7.05
20/21,Round 42,15/05/21,trab,genç,2,1,7.08,6.87,4-2-3-1,4-2-3-1,28.0,800000000.0,7.08,32.0,200000.0,6.7,30.0,750000.0,6.97,19.0,2000000000.0,7.06,29.0,350000000.0,6.99,31.0,450000000.0,7.47,29.0,180000000.0,7.04,26.0,380000000.0,6.75,25.0,700000000.0,6.8,35.0,100000000.0,7.02,30.0,150000000.0,7.13,35.0,200000.0,6.98,32.0,150000.0,6.66,26.0,800000.0,6.91,25.0,225000.0,6.96,31.0,200000.0,6.58,31.0,130000000.0,6.65,35.0,125000.0,6.65,34.0,75000.0,6.67,25.0,650000.0,6.63,36.0,50000.0,6.64,29.90909090909091,6138636.363636363,6.83
