Season,Season,Week,Match Date,Match Date,Home Team,Away Team,Home Goals,Away Goals,MatchOutcome,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
20/21,20/21,Round 42,15/05/21,2021-05-15,anta,kony,0,0,D,6.96,6.75,4-2-3-1,3-4-3,27.732620320855617,630820588.2352941,57347326.20320856,6.70090909090909,29.770750988142296,2730673913.043478,248243083.00395253,6.980909090909091,-2.03813066728668,-2099853324.808184,-0.2800000000000011,1,5.0,12.0,2.0,5.0,29.711229946524064,30.040106951871657,158329385.02673796,155089719.2513369,6.7869090909090914,6.780090909090909,7.0,11.0,8.0,10.0,30.456916996047436,30.43675889328064,210340118.57707503,208180019.7628458,6.903090909090909,6.905818181818182
20/21,20/21,Round 42,15/05/21,2021-05-15,rize,başa,0,2,A,6.68,6.97,4-1-4-1,4-2-3-1,30.226086956521737,438742391.3043479,43874239.13043479,6.772,30.545454545454547,1062425000.0,96584090.9090909,6.767272727272727,-0.3193675889328098,-623682608.6956521,0.0047272727272735,1,8.0,17.0,6.0,13.0,30.658339920948617,30.4904743083004,74217389.32806325,81450281.62055336,6.81710909090909,6.826354545454545,6.0,11.0,11.0,18.0,30.67622377622377,30.83111888111888,287212220.27972025,249508260.48951048,6.805454545454545,6.813090909090908
20/21,20/21,Round 42,15/05/21,2021-05-15,fati,deni,5,1,H,7.11,6.38,4-2-3-1,5-4-1,30.1244019138756,66596052.63157895,6054186.602870814,6.795454545454546,28.39444444444445,1925000.0,192500.0,6.513000000000001,1.7299574694311524,64671052.63157895,0.282454545454545,1,15.0,19.0,10.0,17.0,30.32535885167464,30.60717703349282,21017033.492822967,21985669.85645933,6.860181818181819,6.846545454545455,5.0,12.0,0.0,3.0,29.815858585858585,30.73904040404041,216227.2727272727,217113.6363636364,6.678563636363637,6.707381818181818
20/21,20/21,Round 42,15/05/21,2021-05-15,hata,gazi,0,1,A,6.81,7.04,4-2-3-1,5-3-2,32.78421052631579,1198639473.6842103,119863947.36842103,6.973000000000001,31.28458498023716,2404347.826086957,218577.07509881427,6.850909090909091,1.4996255460786294,1196235125.8581235,0.1220909090909101,1,5.0,11.0,7.0,12.0,32.54631578947369,32.15980861244019,61247421.05263157,80158866.02870813,6.9566,6.946754545454546,6.0,15.0,7.0,11.0,32.84822134387352,33.12213438735178,348577.07509881427,354752.9644268775,6.828545454545454,6.817545454545455
20/21,20/21,Round 42,15/05/21,2021-05-15,anka,alan,0,1,A,6.76,7.11,4-2-3-1,4-4-2,27.00790513833992,1889439130.4347825,171767193.6758893,6.787272727272727,29.44976076555024,1732669736.8421054,157515430.62200958,6.904545454545455,-2.441855627210316,156769393.59267712,-0.117272727272728,1,3.0,11.0,0.0,6.0,29.060869565217395,29.528853754940712,146120573.12252966,145841166.00790516,6.775090909090909,6.7784545454545455,3.0,10.0,5.0,11.0,30.838277511961724,30.93205741626794,136356100.4784689,133505023.923445,6.928,6.924363636363637
20/21,20/21,Round 42,15/05/21,2021-05-15,siva,kası,2,1,H,7.05,6.66,4-1-4-1,4-2-3-1,34.07905138339921,117211956.52173913,10655632.411067192,6.8500000000000005,27.90909090909091,882275000.0,80206818.18181819,6.882727272727274,6.169960474308301,-765063043.4782609,-0.0327272727272731,1,6.0,17.0,13.0,24.0,33.53596837944664,33.538339920948616,16988596.837944664,18539515.81027668,6.892545454545456,6.904272727272728,10.0,14.0,9.0,15.0,30.1043771043771,30.287205387205383,67572777.77777778,70476565.65656565,6.839272727272727,6.8408181818181815
20/21,20/21,Round 42,15/05/21,2021-05-15,gala,yeni,3,1,H,7.1,6.79,4-1-4-1,4-4-2,29.303030303030308,3641316666.6666665,331028787.8787879,6.970909090909092,30.67768595041322,338405681.8181818,30764152.892561983,6.848181818181818,-1.3746556473829123,3302910984.8484845,0.1227272727272739,1,14.0,19.0,15.0,28.0,29.349494949494957,29.142424242424244,419379898.98989904,481125757.5757576,6.964727272727272,6.947181818181818,7.0,11.0,5.0,13.0,30.28429752066116,30.44752066115702,36809235.53719009,33625287.19008265,6.834181818181818,6.834099999999999
20/21,20/21,Round 42,15/05/21,2021-05-15,gözt,beşi,1,2,A,6.73,6.83,4-1-4-1,4-1-4-1,29.73818181818182,1009226000.0,91747818.1818182,6.867272727272728,30.424242424242426,1698952083.3333333,154450189.39393938,6.991818181818181,-0.6860606060606038,-689726083.3333333,-0.1245454545454531,1,8.0,16.0,4.0,12.0,29.47563636363636,29.72509090909091,67981236.36363636,81111118.18181817,6.849636363636364,6.842363636363636,14.0,25.0,9.0,18.0,30.68181818181818,30.278787878787877,134514034.09090906,147385189.3939394,6.993272727272728,6.994818181818182
20/21,20/21,Round 42,15/05/21,2021-05-15,kays,fene,1,2,A,6.58,6.87,5-4-1,4-1-4-1,28.570532915360506,1398116379.3103447,127101489.02821316,6.834545454545454,30.63636363636364,5630925000.0,511902272.7272728,7.01090909090909,-2.065830721003131,-4232808620.6896553,-0.1763636363636358,1,8.0,12.0,6.0,9.0,28.544200626959245,28.91943573667712,133992084.63949844,129324506.26959248,6.83,6.816363636363636,8.0,18.0,10.0,23.0,31.77979797979798,31.71212121212121,266623989.89898992,252400606.0606061,6.998545454545455,7.017090909090909
20/21,20/21,Round 42,15/05/21,2021-05-15,trab,genç,2,1,H,7.08,6.87,4-2-3-1,4-2-3-1,28.545454545454547,5110950000.0,464631818.1818182,7.00090909090909,30.900826446280995,138613636.36363637,12601239.669421488,6.741818181818181,-2.355371900826448,4972336363.636364,0.2590909090909088,1,7.0,13.0,9.0,16.0,28.654545454545456,28.806734006734008,408810454.54545456,387674974.74747473,7.020727272727273,7.007909090909091,7.0,15.0,3.0,7.0,31.283801652892567,31.33190082644628,11561202.479338843,13027101.239669424,6.767763636363637,6.759481818181818
