Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Rating,Home Player 2 Rating,Home Player 3 Rating,Home Player 4 Rating,Home Player 5 Rating,Home Player 6 Rating,Home Player 7 Rating,Home Player 8 Rating,Home Player 9 Rating,Home Player 10 Rating,Home Player 11 Rating,Away Player 1 Rating,Away Player 2 Rating,Away Player 3 Rating,Away Player 4 Rating,Away Player 5 Rating,Away Player 6 Rating,Away Player 7 Rating,Away Player 8 Rating,Away Player 9 Rating,Away Player 10 Rating,Away Player 11 Rating,Home Player 1 Age,Home Player 1 Market Value (M€),Home Player 2 Age,Home Player 2 Market Value (M€),Home Player 3 Age,Home Player 3 Market Value (M€),Home Player 4 Age,Home Player 4 Market Value (M€),Home Player 5 Age,Home Player 5 Market Value (M€),Home Player 6 Age,Home Player 6 Market Value (M€),Home Player 7 Age,Home Player 7 Market Value (M€),Home Player 8 Age,Home Player 8 Market Value (M€),Home Player 9 Age,Home Player 9 Market Value (M€),Home Player 10 Age,Home Player 10 Market Value (M€),Home Player 11 Age,Home Player 11 Market Value (M€),Away Player 1 Age,Away Player 1 Market Value (M€),Away Player 2 Age,Away Player 2 Market Value (M€),Away Player 3 Age,Away Player 3 Market Value (M€),Away Player 4 Age,Away Player 4 Market Value (M€),Away Player 5 Age,Away Player 5 Market Value (M€),Away Player 6 Age,Away Player 6 Market Value (M€),Away Player 7 Age,Away Player 7 Market Value (M€),Away Player 8 Age,Away Player 8 Market Value (M€),Away Player 9 Age,Away Player 9 Market Value (M€),Away Player 10 Age,Away Player 10 Market Value (M€),Away Player 11 Age,Away Player 11 Market Value (M€)
23/24,Round 1,2023-08-11,trab,anta,1,0,7.02,6.86,4-1-4-1,4-2-3-1,Çakır,Larsen,Benković,Denswil,Elmalı,Kourbelis,Višća,Bakasetas,Ömür,Trézéguet,Bozok,Leite,Balcı,Öztürk,Toprak,Vural,Rakip,Kałuziński,Yeşilyurt,Larsson,Bytyqi,Buksa,7.04,6.74,6.9,7.02,6.87,6.76,7.28,7.26,6.97,7.17,6.8,7.2,7.0,0.0,6.92,6.9,6.78,6.88,6.89,6.97,6.82,7.19,28.0,850.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,260.0,24.0,400.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,28.0,180.0,26.428571428571427,205.42671232876714,24.0,250.0,24.0,0.25,19.0,0.05,36.0,0.15,28.0,0.85,26.428571428571427,205.42671232876714,27.0,80.02499999999999,31.0,150.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-12,pend,hata,1,5,6.5,6.96,4-1-3-2,4-2-3-1,Öğür,Rassoul,Welinton,Tzavellas,Sequeira,Vuković,Kaya,Aosman,Akbunar,Bitin,Thuram,Kardeşler,Çörekçi,Bekaroğlu,Kilama,Aksoy,Sağlam,Aburjania,Strandberg,Dele-Bashiru,Fernandes,Yıldırım,6.03,6.63,6.88,6.5,6.89,6.58,6.5,6.4,6.98,6.53,7.02,6.98,6.85,6.71,6.9,6.77,6.9,6.66,6.79,7.01,6.75,6.57,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,120.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,30.0,0.4,32.0,0.2,26.428571428571427,205.42671232876714,25.0,150.0,27.0,180.0,26.0,0.95,26.428571428571427,205.42671232876714,28.0,200.0,26.428571428571427,205.42671232876714,23.0,940.0,21.75,0.23750000000000002
23/24,Round 1,2023-08-12,kays,gala,0,0,6.89,7.03,4-4-1-1,4-2-3-1,Bayazit,Uzodimma,Attamah,Kocaman,Carole,Cardoso,Kemen,Gezek,Thiam,Karimi,Sazdağı,Muslera,Boey,Nelsson,Bardakcı,Dubois,Oliveira,Kutlu,Yılmaz,Mertens,Aktürkoğlu,Bakambu,7.22,6.78,6.75,6.7,6.78,7.08,6.94,6.58,7.26,6.98,6.79,7.2,7.11,7.12,7.23,6.9,6.54,6.91,6.85,7.61,7.33,6.82,26.428571428571427,205.42671232876714,25.0,0.4,30.0,0.5,21.0,180.0,33.0,0.55,30.0,210.0,28.0,250.0,19.0,0.75,32.0,270.0,30.0,0.6,30.0,0.9,38.0,110.0,26.428571428571427,205.42671232876714,26.0,1600.0,30.0,750.0,30.0,300.0,26.428571428571427,205.42671232876714,26.0,380.0,23.0,470.06499999999994,37.0,180.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-12,kony,i̇st,1,1,7.03,6.58,4-2-3-1,4-2-3-1,Bernardoni,Oğuz,Demirbağ,Demirtaş,Sityá,Dikmen,Paz,Murić,Malli,Moreno,Cikalleshi,Jensen,Duhaney,Erdoğan,Yeşil,Yaşar,Loshaj,Sarıkaya,Ndao,Jackson,Ethemi,Yilmaz,6.78,6.96,6.5,6.56,7.35,6.76,6.62,6.78,6.62,6.84,6.94,6.91,6.54,6.63,6.8,6.68,6.98,6.81,6.88,6.77,6.75,6.74,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,21.5,90.05,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,150.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,27.666666666666668,0.35000000000000003,26.428571428571427,205.42671232876714,20.666666666666668,0.27499999999999997,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,27.0,130.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-12,kası,anka,3,2,7.24,6.7,4-2-3-1,3-4-3,Gianniotis,Winck,Omeruo,Özcan,Aksu,Gül,Kara,Ouanes,Hajradinović,Gomis,Fall,Gikiewicz,Radaković,Çankaya,Mujakić,Kitsiou,Ciğerci,Đokanović,Hanousek,Beridze,Sowe,Bekiroğlu,6.95,6.82,6.93,6.78,6.53,6.97,6.75,7.01,7.39,6.76,6.94,6.9,6.89,6.72,6.77,6.84,7.15,6.73,6.74,6.7,6.84,7.04,31.0,0.5,30.0,0.7,31.0,160.0,22.0,425.0,26.428571428571427,205.42671232876714,26.0,200.0,28.0,150.0,30.0,160.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,100.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,30.0,170.0,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-13,fene,gazi,2,1,7.03,6.42,4-1-4-1,4-2-3-1,Bayındır,Osayi-Samuel,Becão,Djiku,Kadıoğlu,Yüksek,Kent,Szymański,Yandaş,Tadić,Džeko,Şen,M'Bakata,Kızıldağ,Djilobodji,Khacef,Jevtović,Soyalp,Eskihellaç,Maxim,Gradel,Marković,6.3,7.0,6.9,7.01,7.44,7.15,6.89,7.55,7.1,7.42,7.39,6.48,6.71,6.9,6.94,6.43,6.79,6.77,6.93,7.16,6.73,6.82,26.428571428571427,205.42671232876714,26.0,800.0,28.0,800.0,30.0,900.0,26.428571428571427,205.42671232876714,25.0,1400.0,26.428571428571427,205.42671232876714,25.0,1900.0,30.0,110.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.5,0.5875,26.0,0.55,26.0,0.75,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,29.0,0.7,27.0,140.0,34.0,0.75,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-13,adan,rize,2,1,6.92,6.64,4-2-3-1,4-2-3-1,Özbir,Svensson,Gravillon,Güler,Rodrigues,Stambouli,Akbaba,Sarı,Belhanda,Nani,Ndiaye,Akkan,Korkmaz,Alikulov,Topçu,Pehlivan,Olawoyin,Pala,Zeqiri,Pinchi,Keser,Diouf,7.19,7.1,6.85,7.09,6.76,6.81,7.19,6.93,7.03,6.83,7.05,7.17,6.79,6.75,7.26,6.65,7.12,6.62,6.88,6.56,6.87,6.3,26.428571428571427,205.42671232876714,31.0,180.0,26.0,350.0,30.0,0.95,32.0,80.45,26.428571428571427,205.42671232876714,32.0,120.0,31.0,225.0875,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,34.0,0.5,29.0,120.0,21.5,0.175,25.0,150.0,24.0,500.0,26.428571428571427,205.42671232876714,27.0,170.0,24.0,0.9,24.0,160.0,26.428571428571427,205.42671232876714,28.0,100.0,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-13,siva,sams,1,1,6.8,6.79,4-3-3,3-4-2-1,Vural,Okumuş,Osmanpaşa,Camara,Çiftçi,Arslan,Konak,Sáiz,Başsan,N'Jie,Musa,Kocuk,Yavru,Öztürk,Drongelen,Schindler,Antalyalı,Ntcham,Bola,Kılınç,Fofana,Mouandilmadji,6.9,6.79,6.98,6.94,6.8,6.78,6.83,7.25,6.9,6.64,6.6,6.8,7.02,0.0,6.89,6.74,6.77,6.75,6.75,7.12,6.82,6.88,36.0,0.15,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,0.3,32.0,120.0,25.0,0.05,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,0.6,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,29.0,150.0,33.0,0.35,24.0,0.25,25.0,170.0,31.0,0.75,29.0,160.0,28.0,270.0,27.0,120.0,30.0,170.0,21.0,1000.0,26.0,200.0
23/24,Round 1,2023-08-14,fati,beşi,0,1,6.65,7.1,4-3-3,4-3-3,Dituro,Veseli,Baniya,Drešević,Mercan,Rohdén,Feghouli,Ugur,Keleş,Dursun,Ljajić,Günok,Rosier,Uysal,Colley,Masuaku,Uçan,Hadžiahmetović,Fernandes,Bulut,Aboubakar,Muleka,7.04,6.63,6.73,6.99,6.9,6.91,6.82,6.51,6.82,6.6,6.65,6.89,7.15,6.96,7.14,6.82,7.11,7.06,6.75,6.76,6.78,6.9,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.0,260.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,23.0,220.0,33.0,0.6,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,33.0,0.65,26.428571428571427,205.42671232876714,31.0,400.0,30.0,360.0,26.428571428571427,205.42671232876714,23.0,940.0,26.0,85.025,32.0,280.0,26.428571428571427,205.42671232876714
23/24,Round 1,2023-08-14,alan,başa,2,0,7.19,6.61,4-3-3,4-1-4-1,Taşkıran,Augusto,Bayır,Aliti,Özdemir,Novais,Cândido,Janvier,Karaca,Silva,Eduardo,Şengezer,Özbayraklı,Ié,Duarte,Touba,Karzev,Gürler,Şahiner,Pelkas,Figueiredo,Piątek,7.01,6.92,6.79,6.87,6.78,6.9,7.16,7.04,7.02,6.45,6.8,7.11,6.75,6.95,7.12,6.3,6.64,6.75,6.89,7.04,6.88,7.2,35.0,0.075,24.0,140.0,24.0,210.0,31.0,100.0,24.5,405.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.0,0.55,35.0,0.35,30.0,0.55,26.428571428571427,205.42671232876714,27.0,190.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,28.0,330.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,33.0,0.6,32.0,0.45,31.0,200.0,28.0,270.0,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-18,i̇st,kays,1,1,6.86,6.97,4-4-2,4-2-3-1,Jensen,Duhaney,Yeşil,Coly,Temel,Ndao,Rroca,Loshaj,Ethemi,Yilmaz,Jackson,Bayazit,Uzodimma,Kolovetsios,Kocaman,Attamah,Kemen,Ackah,Cardoso,Karimi,Thiam,Sazdağı,6.91,6.54,6.8,6.59,6.63,6.88,6.8,6.98,6.75,6.74,6.77,7.22,6.78,6.58,6.7,6.75,6.94,6.69,7.08,6.98,7.26,6.79,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.0,0.05,27.0,130.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,25.0,0.4,33.0,0.35,21.0,180.0,30.0,0.5,28.0,250.0,25.0,0.4,30.0,210.0,30.0,0.6,32.0,270.0,30.0,0.9
