Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 42,15/05/21,Antalyaspor,Konyaspor,0,0,6.96,6.75,4-2-3-1,3-4-3,F. Kaplan; M. Yilmaz; B. Öztürk; E. Gülüm; A. E. İyican; (c) H. Özmert; B. Balcı; S. Sam; U. Akyol; O. Imeri; D. Orgill,E. Ersu; A. Demirbağ; A. Çalık; (c) A. Bardakcı; N. Skubic; A. Hadžiahmetović; A. Rahmanović; G. H. Sityá; J. Sekidika; S. Cikalleshi; Z. Bytyqi
20/21,Round 42,15/05/21,Rizespor,Başakşehir,0,2,6.68,6.97,4-1-4-1,4-2-3-1,T. Çetin; O. Bulut; S. Ay; E. Dilaver; A. Koc; D. Djoković; T. Torun; (c) A. Durak; E. Sabo; B. Samudio; A. Søderlund,M. Günok; Ö. A. Şahiner; L. Duarte; R. Tagir; B. Bolingoli; (c) M. Tekdemir; T. Ciğerci; D. Aleksić; B. Özcan; N. Chadli; E. Crivelli
20/21,Round 42,15/05/21,Karagümrük,Denizlispor,5,1,7.11,6.38,4-2-3-1,5-4-1,E. Viviano; V. E. Hedenstad; K. Altınay; E. Roco; S. Ahmetoglu; E. Tatlı; (c) L. Biglia; J. Lens; A. Aktaş; F. Borini; A. Sobiech,H. Altıntaş; A. Y. Kol; E. Yildrim; M. Özkal; G. Can; (c) Ö. Çek; M. Dossevi; F. Leismann; H. Ayaroğlu; V. Tusha; M. Mešanovič
20/21,Round 42,15/05/21,Hatayspor,Gaziantep,0,1,6.81,7.04,4-2-3-1,5-3-2,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; A. Boupendza; M. B. Diouf,M. B. Bozan; O. Ceylan; (c) P. Djilobodji; U. Zengin; J. Morais; C. Şahin; J. Junior; F. Soyalp; Z. Kožulj; N. Dicko; M. Demir
20/21,Round 42,15/05/21,Ankaragücü,Alanyaspor,0,1,6.76,7.11,4-2-3-1,4-4-2,M. Topuz; A. Çankaya; (c) A. Kulušić; M. Pazdan; E. Dikmen; A. K. Güneren; A. Dioussé; S. Lobjanidze; Ş. Çetin; J. Paintsil; A. Badji,S. Kırıntılı; Juanfran; F. Aksoy; G. Tzavellas; T. Bingöl; (c) E. Karaca; B. Kutlu; U. Güneş; E. Bekiroğlu; Davidson; A. Bareiro
20/21,Round 42,15/05/21,Sivasspor,Kasımpaşa,2,1,7.05,6.66,4-1-4-1,4-2-3-1,A. Ş. Vural; I. Cofie; C. Osmanpaşa; U. Çiftçi; (c) Z. Erdal; Claudemir; C. Ninga; H. Arslan; F. Fajr; M. Gradel; O. Kayode,E. Canpolat; M. F. Yıldırım; D. Luckassen; T. Břečka; E. Elmalı; (c) T. Serbest; K. Bistrović; G. Koomson; H. Hajradinović; A. Koç; K. Varga
20/21,Round 42,15/05/21,Galatasaray,Yeni Malatyaspor,3,1,7.1,6.79,4-1-4-1,4-4-2,(c) F. Muslera; D. Yedlin; R. Donk; Marcão; M. Saracchi; T. Antalyalı; A. Turan; G. Fernandes; E. Akbaba; R. Babel; H. Dervişoğlu,E. Özbir; S. Kaya; Wallace; T. L. Hadebe; K. Hafez; I. Chebake; Z. Yavru; S. Mallan; M. Fofana; B. Tetteh; (c) A. Büyük
20/21,Round 42,15/05/21,Göztepe,Beşiktaş,1,2,6.73,6.83,4-1-4-1,4-1-4-1,İ. C. Eğribayat; M. Paluli; A. Öztürk; A. Nukan; B. Emir; O. Nwobodo; (c) H. Akbunar; A. Esiti; S. Aydoğdu; C. Ndiaye; A. Jahović,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; (c) A. Hutchinson; G. Töre; G. N'Koudou; C. Larin
20/21,Round 42,15/05/21,Kayserispor,Fenerbahçe,1,2,6.58,6.87,5-4-1,4-1-4-1,D. Alemdar; Z. Kvržić; J. Attamah; D. Kolovetsios; N. Paz; A. Behich; R. Civelek; D. Avramovski; K. Muhar; P. Henrique; (c) İ. Parlak,A. Bayındır; N. Sangaré; S. Aziz; A. Szalai; C. Erkin; J. Sosa; B. Osayi-Samuel; (c) O. Tufan; D. Pelkas; F. Kadıoğlu; Enner Valencia
20/21,Round 42,15/05/21,Trabzonspor,Gençlerbirliği,2,1,7.08,6.87,4-2-3-1,4-2-3-1,(c) U. Çakır; K. A. Çörekçi; E. Ié; V. Hugo; Marlon; A. Bakasetas; L. Baker; Y. Sarı; A. Ömür; A. N. Nwakaeme; C. Ekuban,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Mert; P. Polomat; S. Dikmen; (c) Z. Touré; S. Yılmaz; R. Berisbek; F. Ayité; B. Stancu
20/21,Round 41,11/05/21,Konyaspor,Trabzonspor,1,1,7.09,6.63,4-2-3-1,4-2-3-1,(c) I. Šehić; B. Yardımcı; A. Çalık; A. Bardakcı; G. H. Sityá; A. Demirbağ; A. Rahmanović; L. Shengelia; A. Hadžiahmetović; J. Sekidika; S. Cikalleshi,(c) U. Çakır; S. Asan; E. Ié; V. Hugo; Marlon; K. A. Çörekçi; L. Baker; A. Ömür; A. Bakasetas; A. N. Nwakaeme; C. Ekuban
