Season,Team Name,Player Name,Player Rating
21/22,Trabzonspor,Arda Akbulut,7.60
21/22,Kasımpaşa,Jackson Muleka,7.57
21/22,Konyaspor,Erten Ersu,7.50
21/22,Trabzonspor,Edin Višća,7.49
21/22,Gaziantep FK,Alexandru Maxim,7.49
21/22,Çaykur Rizespor,Gedson Fernandes,7.46
21/22,Antalyaspor,Fernando,7.41
21/22,Beşiktaş,Rachid Ghezzal,7.41
21/22,Antalyaspor,Diogo Sousa,7.40
21/22,Trabzonspor,Anthony Nwakaeme,7.38
21/22,Trabzonspor,Marek Hamšík,7.37
21/22,Beşiktaş,Kerem Kalafat,7.35
21/22,Adana Demirspor,Mario Balotelli,7.34
21/22,Sivasspor,Fayçal Fajr,7.29
21/22,Konyaspor,Guilherme Haubert Sityá,7.29
21/22,Fenerbahçe,Arda Güler,7.27
21/22,Alanyaspor,Emre Akbaba,7.27
21/22,Trabzonspor,Anastasios Bakasetas,7.24
21/22,Kasımpaşa,Valentin Eysseric,7.21
21/22,Fatih Karagümrük,Lucas Biglia,7.21
21/22,Konyaspor,Amir Hadžiahmetović,7.20
21/22,Fatih Karagümrük,Caner Erkin,7.20
21/22,Fenerbahçe,Arda Kurtulan,7.20
21/22,Adana Demirspor,Vedat Karakuş,7.20
21/22,Çaykur Rizespor,Efe Tecimer,7.20
21/22,Başakşehir FK,Youssouf Ndayishimiye,7.19
21/22,Kasımpaşa,Umut Bozok,7.19
21/22,Kayserispor,Bernard Mensah,7.18
21/22,Konyaspor,Ahmet Çalık,7.18
21/22,Adana Demirspor,Arijanet Murić,7.17
21/22,Kasımpaşa,Mortadha Ben Ouanes,7.17
21/22,Fenerbahçe,Mert Hakan Yandaş,7.15
21/22,Fenerbahçe,Miguel Crespo,7.15
21/22,Adana Demirspor,Matías Vargas,7.14
21/22,Başakşehir FK,Mahmoud Trézéguet,7.14
21/22,Beşiktaş,Miralem Pjanić,7.14
21/22,Trabzonspor,Uğurcan Çakır,7.13
21/22,Konyaspor,Abdülkerim Bardakcı,7.12
21/22,Trabzonspor,Dorukhan Toköz,7.12
21/22,Fenerbahçe,İrfan Can Kahveci,7.12
21/22,Başakşehir FK,Tolga Ciğerci,7.11
21/22,Adana Demirspor,Samet Akaydın,7.11
21/22,Hatayspor,Rúben Ribeiro,7.11
21/22,Yeni Malatyaspor,Adem Büyük,7.10
21/22,Adana Demirspor,Pa Dibba,7.10
21/22,Beşiktaş,Emre Bilgin,7.10
21/22,Hatayspor,Adama Traoré,7.09
21/22,Trabzonspor,Edgar Ié,7.09
21/22,Konyaspor,Ibrahim Šehić,7.09
21/22,Hatayspor,Yassine Benzia,7.09
21/22,Fenerbahçe,Altay Bayındır,7.09
21/22,Yeni Malatyaspor,Abdulsamed Damlu,7.09
21/22,Sivasspor,Max Gradel,7.07
21/22,Fatih Karagümrük,Emiliano Viviano,7.07
21/22,Fenerbahçe,Serdar Aziz,7.07
21/22,Fenerbahçe,Ferdi Kadıoğlu,7.06
21/22,Başakşehir FK,Junior Caiçara,7.06
21/22,Giresunspor,Alexis Pérez,7.06
21/22,Fenerbahçe,Serdar Dursun,7.06
21/22,Hatayspor,Mame Biram Diouf,7.06
21/22,Başakşehir FK,Alexandru Epureanu,7.06
21/22,Trabzonspor,Abdülkadir Ömür,7.04
21/22,Çaykur Rizespor,Emirhan Topçu,7.04
21/22,Kayserispor,Andrea Bertolacci,7.04
21/22,Konyaspor,Endri Çekiçi,7.03
21/22,Alanyaspor,Chidozie Awaziem,7.03
21/22,Alanyaspor,João Novais,7.03
21/22,Alanyaspor,Davidson,7.03
21/22,Giresunspor,Chiquinho,7.03
21/22,Giresunspor,Mehmet Umut Nayir,7.03
21/22,Başakşehir FK,Serdar Gürler,7.03
21/22,Başakşehir FK,Deniz Türüç,7.03
21/22,Galatasaray,Bafetimbi Gomis,7.03
21/22,Gaziantep FK,Papy Djilobodji,7.03
21/22,Sivasspor,Dimitris Goutas,7.03
21/22,Giresunspor,Zeki Yavru,7.02
21/22,Beşiktaş,Souza,7.02
21/22,Antalyaspor,Haji Wright,7.02
21/22,Galatasaray,Patrick van Aanholt,7.01
21/22,Giresunspor,Flávio,7.01
21/22,Altay,Mateusz Lis,7.01
21/22,Yeni Malatyaspor,Mehdi Zeffane,7.01
21/22,Alanyaspor,Oğuz Aydın,7.01
21/22,Fenerbahçe,José Sosa,7.01
21/22,Galatasaray,Erick Pulgar,7.01
21/22,Çaykur Rizespor,Tarik Çetin,7.01
21/22,Fenerbahçe,Mesut Özil,7.00
21/22,Konyaspor,Marin Aničić,7.00
21/22,Gaziantep FK,Ekrem Kılıçarslan,7.00
21/22,Kayserispor,Cenk Gönen,7.00
21/22,Antalyaspor,Nuri Şahin,7.00
21/22,Başakşehir FK,Volkan Babacan,7.00
21/22,Alanyaspor,Serkan Kırıntılı,6.99
21/22,Trabzonspor,Bruno Peres,6.99
21/22,Başakşehir FK,Léo Duarte,6.99
21/22,Fenerbahçe,Miha Zajc,6.99
21/22,Alanyaspor,Nemanja Milunović,6.99
21/22,Galatasaray,Fernando Muslera,6.99
21/22,Galatasaray,Omar Elabdellaoui,6.99
21/22,Başakşehir FK,Mahmut Tekdemir,6.98
21/22,Kayserispor,Mame Thiam,6.98
21/22,Çaykur Rizespor,Joel Pohjanpalo,6.98
21/22,Antalyaspor,Güray Vural,6.98
21/22,Fatih Karagümrük,Emre Mor,6.97
21/22,Hatayspor,Onur Ergün,6.97
21/22,Konyaspor,Zymer Bytyqi,6.97
21/22,Yeni Malatyaspor,Ertaç Özbir,6.97
21/22,Beşiktaş,Francisco Montero,6.97
21/22,Göztepe,Atınç Nukan,6.97
21/22,Beşiktaş,Michy Batshuayi,6.96
21/22,Kayserispor,Bilal Bayazit,6.96
21/22,Giresunspor,Okan Kocuk,6.96
21/22,Beşiktaş,Welinton,6.96
21/22,Hatayspor,Munir Mohamedi,6.96
21/22,Trabzonspor,Djaniny,6.96
21/22,Sivasspor,Mustapha Yatabaré,6.95
21/22,Antalyaspor,Naldo,6.95
21/22,Hatayspor,Ayoub El Kaabi,6.95
21/22,Trabzonspor,Stefano Denswil,6.95
21/22,Alanyaspor,Emirhan Aydoğan,6.95
21/22,Beşiktaş,Domagoj Vida,6.95
21/22,Galatasaray,Mostafa Mohamed,6.95
21/22,Trabzonspor,Andreas Cornelius,6.95
21/22,Fenerbahçe,Enner Valencia,6.95
21/22,Altay,Martín Rodríguez,6.94
21/22,Sivasspor,Pedro Henrique,6.94
21/22,Galatasaray,Kerem Aktürkoğlu,6.94
21/22,Fatih Karagümrük,Fabio Borini,6.94
21/22,Adana Demirspor,Benjamin Stambouli,6.94
21/22,Kasımpaşa,Florent Hadergjonaj,6.94
21/22,Giresunspor,Magomed Shapi Suleymanov,6.94
21/22,Galatasaray,Marcão,6.94
21/22,Adana Demirspor,Yunus Akgün,6.94
21/22,Antalyaspor,Fredy,6.93
21/22,Trabzonspor,Ahmetcan Kaplan,6.93
21/22,Alanyaspor,Famara Diédhiou,6.93
21/22,Konyaspor,Nejc Skubic,6.93
21/22,Alanyaspor,Daniel Candeias,6.93
21/22,Altay,Serge Aka,6.93
21/22,Başakşehir FK,Hasan Ali Kaldırım,6.93
21/22,Fenerbahçe,Min-jae Kim,6.93
21/22,Göztepe,Cherif Ndiaye,6.92
21/22,Kayserispor,Silviu Lung Jr.,6.92
21/22,Fatih Karagümrük,Ervin Zukanović,6.92
21/22,Gaziantep FK,Ertuğrul Ersoy,6.91
21/22,Çaykur Rizespor,Gökhan Gönül,6.91
21/22,Altay,Murat Akça,6.91
21/22,Alanyaspor,Juanfran,6.91
21/22,Göztepe,Soner Aydoğdu,6.91
21/22,Sivasspor,Caner Osmanpaşa,6.91
21/22,Çaykur Rizespor,Ronaldo Mendes,6.91
21/22,Yeni Malatyaspor,Sadık Çiftpınar,6.91
21/22,Antalyaspor,Luiz Adriano,6.91
21/22,Kayserispor,Uğur Demirok,6.91
21/22,Gaziantep FK,Stelios Kitsiou,6.90
21/22,Kayserispor,Onur Bulut,6.90
21/22,Konyaspor,Sokol Cikalleshi,6.90
21/22,Antalyaspor,Veysel Sarı,6.90
21/22,Hatayspor,Kahraba,6.90
21/22,Galatasaray,Radamel Falcao,6.90
21/22,Altay,Onur Efe,6.90
21/22,Alanyaspor,Efecan Karaca,6.90
21/22,Fatih Karagümrük,Aleksandar Pešić,6.90
21/22,Kayserispor,Emrah Başsan,6.90
21/22,Trabzonspor,Hüseyin Türkmen,6.89
21/22,Fenerbahçe,Bright Osayi-Samuel,6.89
21/22,Kasımpaşa,Doğucan Haspolat,6.89
21/22,Gaziantep FK,Günay Güvenç,6.89
21/22,Kayserispor,Mario Gavranović,6.89
21/22,Çaykur Rizespor,Yusuf Sarı,6.89
21/22,Adana Demirspor,Tayyip Talha Sanuç,6.89
21/22,Trabzonspor,Vitor Hugo,6.89
21/22,Alanyaspor,Furkan Bayır,6.89
21/22,Yeni Malatyaspor,Benjamin Tetteh,6.88
21/22,Alanyaspor,Fatih Aksoy,6.88
21/22,Gaziantep FK,Furkan Soyalp,6.88
21/22,Fatih Karagümrük,Kristijan Bistrović,6.88
21/22,Konyaspor,Ahmed Hassan,6.88
21/22,Kayserispor,Majid Hosseini,6.88
21/22,Beşiktaş,Emirhan İlkhan,6.88
21/22,Kayserispor,Mert Çetin,6.88
21/22,Fenerbahçe,Nazım Sangaré,6.88
21/22,Çaykur Rizespor,Sebastian Holmén,6.88
21/22,Göztepe,Berkan Emir,6.88
21/22,Fenerbahçe,Luiz Gustavo,6.88
21/22,Giresunspor,Mamadou Diarra,6.87
21/22,Başakşehir FK,Muhammed Şengezer,6.87
21/22,Fenerbahçe,Diego Rossi,6.87
21/22,Gaziantep FK,João Figueiredo,6.87
21/22,Hatayspor,Kamil Ahmet Çörekçi,6.87
21/22,Giresunspor,Hamidou Traoré,6.87
21/22,Fatih Karagümrük,Samed Onur,6.87
21/22,Sivasspor,Aaron Appindangoyé,6.87
21/22,Kasımpaşa,Nabil Dirar,6.87
21/22,Adana Demirspor,Jonas Svensson,6.86
21/22,Beşiktaş,Güven Yalçın,6.86
21/22,Beşiktaş,Rıdvan Yılmaz,6.86
21/22,Galatasaray,Sofiane Feghouli,6.86
21/22,Hatayspor,Sam Adekugbe,6.86
21/22,Başakşehir FK,Berkay Özcan,6.86
21/22,Kayserispor,Abdulkadir Parmak,6.86
21/22,Galatasaray,Alexandru Cicâldău,6.86
21/22,Sivasspor,Muammer Yıldırım,6.86
21/22,Fenerbahçe,Marcel Tisserand,6.86
21/22,Sivasspor,Ahmet Oğuz,6.86
21/22,Galatasaray,Halil Dervişoğlu,6.86
21/22,Göztepe,Obinna Nwobodo,6.86
21/22,Fenerbahçe,Filip Novák,6.86
21/22,Kasımpaşa,Awer Mabil,6.85
21/22,Kayserispor,Campanharo,6.85
21/22,Gaziantep FK,Recep Niyaz,6.85
21/22,Gaziantep FK,Steven Caulker,6.85
21/22,Antalyaspor,Doğukan Sinik,6.85
21/22,Alanyaspor,Erencan Yardımcı,6.85
21/22,Galatasaray,Christian Luyindama,6.85
21/22,Başakşehir FK,Stefano Okaka,6.85
21/22,Adana Demirspor,Damjan Đoković,6.85
21/22,Gaziantep FK,Ángelo Sagal,6.85
21/22,Kasımpaşa,Jeffrey Bruma,6.85
21/22,Beşiktaş,Necip Uysal,6.85
21/22,Kasımpaşa,Harun Tekin,6.84
21/22,Başakşehir FK,Danijel Aleksić,6.84
21/22,Yeni Malatyaspor,Buğra Çağıran,6.84
21/22,Çaykur Rizespor,Cemali Sertel,6.84
21/22,Sivasspor,Erdoğan Yeşilyurt,6.84
21/22,Beşiktaş,Atiba Hutchinson,6.84
21/22,Galatasaray,Victor Nelsson,6.84
21/22,Giresunspor,Sergen Piçinciol,6.84
21/22,Fatih Karagümrük,Burak Bekaroğlu,6.83
21/22,Fenerbahçe,Mbwana Ally Samatta,6.83
21/22,Çaykur Rizespor,Fernando Boldrin,6.83
21/22,Çaykur Rizespor,Aminu Umar,6.83
21/22,Antalyaspor,Admir Mehmedi,6.83
21/22,Çaykur Rizespor,Lebogang Phiri,6.83
21/22,Altay,Leandro Kappel,6.83
21/22,Giresunspor,Serginho,6.83
21/22,Trabzonspor,Berat Ayberk Özdemir,6.83
21/22,Kayserispor,Mustafa Pektemek,6.83
21/22,Beşiktaş,Ersin Destanoğlu,6.82
21/22,Göztepe,Halil Akbunar,6.82
21/22,Antalyaspor,Alassane Ndao,6.82
21/22,Sivasspor,Samba Camara,6.82
21/22,Kasımpaşa,Haris Hajradinović,6.82
21/22,Giresunspor,Hayrullah Bilazer,6.82
21/22,Kasımpaşa,Ryan Donk,6.82
21/22,Altay,Thaciano,6.81
21/22,Başakşehir FK,Ravil Tagir,6.81
21/22,Alanyaspor,Tayfur Bingöl,6.81
21/22,Kayserispor,İbrahim Akdağ,6.81
21/22,Yeni Malatyaspor,Mounir Chouiar,6.81
21/22,Yeni Malatyaspor,Wallace,6.81
21/22,Adana Demirspor,Simon Deli,6.81
21/22,Antalyaspor,Sherel Floranus,6.81
21/22,Fenerbahçe,Mergim Berisha,6.81
21/22,Altay,Khaly Thiam,6.80
21/22,Beşiktaş,Georges-Kévin N'Koudou,6.80
21/22,Gaziantep FK,Luka Stankovski,6.80
21/22,Hatayspor,Sadik Bas,6.80
21/22,Kayserispor,Talha Karatas,6.80
21/22,Başakşehir FK,Efe Arda Koyuncu,6.80
21/22,Antalyaspor,Mustafa Erdilman,6.80
21/22,Adana Demirspor,Hijran Ali Boyaci,6.80
21/22,Gaziantep FK,Paweł Olkowski,6.80
21/22,Fenerbahçe,Çağtay Kurukalıp,6.80
21/22,Trabzonspor,Murat Cem Akpinar,6.80
21/22,Adana Demirspor,İsmail Çokçalış,6.80
21/22,Galatasaray,Alpaslan Öztürk,6.80
21/22,Konyaspor,Adil Demirbağ,6.80
21/22,Galatasaray,Emre Kılınç,6.80
21/22,Adana Demirspor,Britt Assombalonga,6.79
21/22,Konyaspor,Soner Dikmen,6.79
21/22,Gaziantep FK,Oğuz Ceylan,6.79
21/22,Sivasspor,Uğur Çiftçi,6.79
21/22,Sivasspor,Kerem Atakan Kesgin,6.79
21/22,Fatih Karagümrük,Jimmy Durmaz,6.79
21/22,Çaykur Rizespor,Selim Ay,6.79
21/22,Adana Demirspor,Younès Belhanda,6.79
21/22,Galatasaray,Ömer Bayram,6.79
21/22,Hatayspor,Fatih Kurucuk,6.79
21/22,Fatih Karagümrük,Davide Biraschi,6.78
21/22,Yeni Malatyaspor,Karim Hafez,6.78
21/22,Galatasaray,Berkan Kutlu,6.78
21/22,Sivasspor,Leke James,6.78
21/22,Konyaspor,Paul-José Mpoku,6.78
21/22,Göztepe,Franco Di Santo,6.78
21/22,Fenerbahçe,Attila Szalai,6.78
21/22,Trabzonspor,Manolis Siopis,6.78
21/22,Gaziantep FK,Doğan Erdoğan,6.78
21/22,Galatasaray,Olimpiu Moruțan,6.78
21/22,Hatayspor,Bertuğ Yıldırım,6.78
21/22,Göztepe,Dino Arslanagić,6.77
21/22,Alanyaspor,Efkan Bekiroğlu,6.77
21/22,Yeni Malatyaspor,Nouha Dicko,6.77
21/22,Gaziantep FK,Jefferson Junior,6.77
21/22,Antalyaspor,Ruud Boffin,6.77
21/22,Adana Demirspor,Gökhan Inler,6.77
21/22,Kasımpaşa,Eren Elmalı,6.77
21/22,Kasımpaşa,Tarkan Serbest,6.77
21/22,Kayserispor,Hayrullah Erkip,6.77
21/22,Altay,İbrahim Öztürk,6.77
21/22,Kasımpaşa,Erdem Canpolat,6.77
21/22,Alanyaspor,Yusuf Karagöz,6.77
21/22,Giresunspor,Onurcan Piri,6.77
21/22,Trabzonspor,Yusuf Erdoğan,6.76
21/22,Sivasspor,Fredrik Ulvestad,6.76
21/22,Antalyaspor,Fedor Kudryashov,6.76
21/22,Adana Demirspor,Alper Uludağ,6.76
21/22,Kasımpaşa,Ertuğrul Taşkıran,6.76
21/22,Beşiktaş,Valentin Rosier,6.76
21/22,Altay,André Poko,6.76
21/22,Altay,César Pinares,6.76
21/22,Alanyaspor,Cristián Borja,6.76
21/22,Fenerbahçe,Berke Özer,6.76
21/22,Altay,Deniz Kadah,6.76
21/22,Trabzonspor,Anders Trondsen,6.75
21/22,Sivasspor,Jorge Félix,6.75
21/22,Sivasspor,Ziya Erdal,6.75
21/22,Kayserispor,Manuel Fernandes,6.75
21/22,Gaziantep FK,Mustafa Burak Bozan,6.75
21/22,Hatayspor,Burak Öksüz,6.75
21/22,Kasımpaşa,Loret Sadiku,6.75
21/22,Yeni Malatyaspor,Didier N'Dong,6.75
21/22,Sivasspor,Isaac Cofie,6.74
21/22,Adana Demirspor,Joher Khadim Rassoul,6.74
21/22,Konyaspor,Oğulcan Ülgün,6.74
21/22,Giresunspor,Douglas,6.74
21/22,Başakşehir FK,Lucas Lima,6.74
21/22,Adana Demirspor,Sinan Kurt,6.74
21/22,Göztepe,Oussama Tannane,6.74
21/22,Fatih Karagümrük,Derrick Luckassen,6.74
21/22,Beşiktaş,Oğuzhan Özyakup,6.74
21/22,Fatih Karagümrük,Salih Dursun,6.74
21/22,Hatayspor,Mehdi Boudjemaa,6.74
21/22,Konyaspor,Amar Rahmanović,6.74
21/22,Antalyaspor,Paul Mukairu,6.74
21/22,Altay,Erdem Ozcan,6.73
21/22,Hatayspor,Muhammed Mert,6.73
21/22,Antalyaspor,Hakan Özmert,6.73
21/22,Hatayspor,Mohammed Kamara,6.73
21/22,Galatasaray,Mbaye Diagne,6.73
21/22,Gaziantep FK,Muhammet Demir,6.73
