Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
22/23,Round 38,06/06/23,Karagümrük,Kasımpaşa,3,0,7.16,6.62,4-2-3-1,4-2-3-1,(c) E. Viviano; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; M. Ozdoev; S. Lobjanidze; A. Bertolacci; K. Frei; M. Diagne,E. Taşkıran; F. Silva; (c) R. Donk; Y. Özcan; M. B. Ouanes; M. Malsa; A. Kara; M. Fall; V. Eysseric; M. Chouiar; S. Bahoken
22/23,Round 38,06/06/23,Sivasspor,Kayserispor,1,1,6.86,6.87,4-3-3,3-1-4-2,M. Yıldırım; M. Paluli; C. Osmanpaşa; S. Camara; (c) U. Çiftçi; F. Ulvestad; R. Yalçın; C. Charisis; E. Gökay; L. James; E. Yeşilyurt,B. Bayazit; G. Sazdağı; M. Hosseini; A. Kocaman; J. Attamah; A. Uzodimma; R. Civelek; O. Kemen; C. Mané; T. Sariarslan; (c) İ. Parlak
22/23,Round 38,07/06/23,Beşiktaş,Konyaspor,3,3,6.85,6.68,4-3-3,4-2-3-1,M. Günok; V. Rosier; Welinton; O. Colley; U. Meraş; S. Uçan; A. Hadžiahmetović; G. Fernandes; J. Muleka; V. Aboubakar; (c) C. Tosun,(c) I. Šehić; A. Oğuz; U. Yazğılı; A. Demirbağ; G. H. Sityá; S. Dikmen; O. Ülgün; K. Michalak; A. Pozuelo; M. Moreno; M. B. Diouf
22/23,Round 38,07/06/23,Giresunspor,Antalyaspor,2,0,6.89,6.79,4-2-3-1,4-2-3-1,F. Kaplan; (c) H. Bilazer; R. Arias; K. Seven; F. C. Genç; J. Campuzano; G. Sağlam; D. C. Davas; V. Savićević; B. Sainz; R. Bajić,H. Leite; B. Balcı; A. Gerxhaliu; E. Uzunhan; (c) G. Vural; Fernando; E. Rakip; H. Ghacha; S. Nakajima; S. Larsson; H. Wright
22/23,Round 38,07/06/23,İstanbulspor,Ümraniyespor,4,0,7.37,6.51,4-2-3-1,5-3-2,D. Jensen; D. Duhaney; O. Erdoğan; S. Deli; A. Yaşar; O. Ergün; F. Loshaj; J. Lokilo; (c) E. Rroca; J. Topalli; E. K. Gültekin,B. Özer; S. Popov; (c) M. Eser; Y. Saitoğlu; E. Lenjani; B. Arici; Y. E. Mertoğlu; M. Yilmaz; F. Y. Şanlitürk; O. Ayık; M. U. Nayir
22/23,Round 38,07/06/23,Ankaragücü,Adana DS,1,2,6.79,6.96,3-4-2-1,4-4-2,D. Kaya; (c) K. Malcuit; U. Radaković; A. Kızıldağ; F. Üzüm; S. Kitsiou; A. Đokanović; H. A. Kaldırım; G. Beridze; A. Chatzigiovanis; G. Töre,V. Karakuş; İ. Çokçalış; M. Çetin; J. Manev; A. Dursun; S. Nongoh; (c) G. Inler; K. Rodrigues; Y. Erdoğan; E. Akbaba; Y. Belhanda
22/23,Round 37,03/06/23,Konyaspor,Karagümrük,1,1,7.03,6.87,4-2-3-1,4-3-3,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; K. Michalak; A. Pozuelo; M. Moreno; M. B. Diouf,(c) E. Viviano; D. Biraschi; R. Baniya; B. Rodrigues; M. Mercan; S. Feghouli; A. Lawrence; M. Ozdoev; S. Lobjanidze; M. Diagne; K. Frei
22/23,Round 37,03/06/23,Adana DS,Başakşehir,2,3,6.71,6.99,4-2-3-1,4-4-2,E. Özbir; İ. Çokçalış; J. Morel; S. Güler; K. Rodrigues; (c) B. Stambouli; B. Ndiaye; Y. Sarı; Y. Belhanda; D. Babajide; F. Gulbrandsen,D. Dilmen; Ş. Özbayraklı; A. Touba; S. Wu; C. Erkin; D. Türüç; (c) B. Özcan; B. Aydoğmuş; S. Gürler; P. P. Keny; J. Figueiredo
22/23,Round 37,03/06/23,Kasımpaşa,Beşiktaş,2,5,6.41,7.03,4-2-3-1,4-2-3-1,E. Canpolat; F. Hadergjonaj; R. Donk; P. Djilobodji; Y. Özcan; M. Malsa; A. Kara; M. B. Ouanes; (c) H. Hajradinović; V. Eysseric; M. Fall,M. Günok; V. Rosier; (c) N. Uysal; Welinton; A. Masuaku; A. Hadžiahmetović; S. Uçan; J. Muleka; G. Fernandes; C. Tosun; V. Aboubakar
22/23,Round 37,03/06/23,Kayserispor,Ankaragücü,0,1,6.8,6.95,4-4-2,3-4-2-1,B. Bayazit; G. Sazdağı; M. Hosseini; (c) D. Kolovetsios; J. Attamah; A. Uzodimma; B. A. Gezek; O. Kemen; C. Mané; M. Thiam; M. Gavranović,G. Akkan; K. Malcuit; A. Çankaya; N. Mujakić; S. Kitsiou; A. Đokanović; T. Antalyalı; M. Hanousek; E. Kılınç; Milson; (c) A. Sowe
22/23,Round 37,03/06/23,Trabzonspor,Alanyaspor,5,1,7.16,6.19,4-1-4-1,4-2-3-1,M. T. Tepe; J. Stryger Larsen; T. Altıkardeş; H. Türkmen; E. Elmalı; M. Siopis; E. Višća; A. Bakasetas; (c) M. Hamšík; M. Trézéguet; U. Bozok,Y. Karagöz; Ç. K. Erciyas; F. Bayır; F. Aksoy; Y. Özdemir; L. Fer; I. Doumbia; (c) D. Candeias; U. Güneş; O. Aydın; E. Yardımcı
