Team Name,Player Name,Age,Market Value
Adana Demirspor,Goran Karačić,28,100 bin €
Başakşehir FK,Deniz Dilmen,19,500 bin €
Antalyaspor,Ataberk Dadakdeniz,25,375 bin €
Adana Demirspor,Vedat Karakuş,26,75 bin €
Galatasaray,Mauro Icardi,31,13.00 mil. €
Fatih Karagümrük,Fabio Borini,33,900 bin €
Fenerbahçe,Arda Güler,19,45.00 mil. €
Trabzonspor,Anastasios Bakasetas,31,4.50 mil. €
Sivasspor,Dia Saba,32,1.00 mil. €
Antalyaspor,Fernando,40,-
Sivasspor,Samu Sáiz,33,325 bin €
Fatih Karagümrük,Brahim Darri,30,75 bin €
Beşiktaş,Vincent Aboubakar,32,2.00 mil. €
Konyaspor,Guilherme Haubert Sityá,34,650 bin €
Ümraniyespor,Mehmet Umut Nayir,31,850 bin €
Beşiktaş,Alexandru Maxim,34,700 bin €
Fenerbahçe,Enner Valencia,35,2.00 mil. €
Adana Demirspor,Younès Belhanda,34,1.20 mil. €
Galatasaray,Emin Bayram,21,5.00 mil. €
Galatasaray,Sérgio Oliveira,32,2.00 mil. €
Adana Demirspor,Badou Ndiaye,34,450 bin €
Fatih Karagümrük,Mbaye Diagne,33,1.50 mil. €
Galatasaray,Kerem Aktürkoğlu,26,25.00 mil. €
Trabzonspor,Edin Višća,34,1.80 mil. €
Başakşehir FK,Youssouf Ndayishimiye,26,12.00 mil. €
Galatasaray,Sacha Boey,24,18.00 mil. €
MKE Ankaragücü,Tolga Ciğerci,32,500 bin €
Beşiktaş,Amir Hadžiahmetović,27,5.50 mil. €
Beşiktaş,Gedson Fernandes,25,17.00 mil. €
Beşiktaş,Arthur Masuaku,31,3.50 mil. €
Kayserispor,Carlos Mané,30,1.10 mil. €
Adana Demirspor,Kévin Rodrigues,30,1.50 mil. €
Beşiktaş,Salih Uçan,30,3.00 mil. €
Kasımpaşa,Ali Gholizadeh,28,1.50 mil. €
Adana Demirspor,Yusuf Sarı,26,3.80 mil. €
Beşiktaş,Cenk Tosun,33,1.40 mil. €
Galatasaray,Lucas Torreira,28,15.00 mil. €
Konyaspor,Alejandro Pozuelo,33,1.20 mil. €
Beşiktaş,Rachid Ghezzal,32,1.20 mil. €
Galatasaray,Dries Mertens,37,1.80 mil. €
Başakşehir FK,Léo Duarte,28,3.00 mil. €
Kasımpaşa,Valentin Eysseric,32,700 bin €
Beşiktaş,Wout Weghorst,32,5.00 mil. €
Kasımpaşa,Günay Güvenç,33,500 bin €
Adana Demirspor,Emre Akbaba,32,1.00 mil. €
İstanbulspor,Jason Lokilo,26,700 bin €
Trabzonspor,Mahmoud Trézéguet,30,7.50 mil. €
Fenerbahçe,Michy Batshuayi,31,7.00 mil. €
Beşiktaş,Nathan Redmond,30,5.00 mil. €
Galatasaray,Fernando Muslera,38,1.00 mil. €
Başakşehir FK,Muhammed Şengezer,27,2.00 mil. €
Kasımpaşa,Sadık Çiftpınar,31,200 bin €
Fenerbahçe,Willian Arão,32,2.00 mil. €
Beşiktaş,Tayyip Talha Sanuç,25,2.80 mil. €
Alanyaspor,Efecan Karaca,35,350 bin €
Trabzonspor,Andreas Cornelius,31,900 bin €
Kasımpaşa,Mickaël Malsa,29,600 bin €
Konyaspor,Ahmet Oğuz,31,600 bin €
Sivasspor,Dimitris Goutas,N/A,N/A
MKE Ankaragücü,Gökhan Akkan,29,1.00 mil. €
Fenerbahçe,Ferdi Kadıoğlu,25,30.00 mil. €
Fenerbahçe,Gustavo Henrique,30,8.00 mil. €
Fenerbahçe,İrfan Can Kahveci,29,9.50 mil. €
Fenerbahçe,Samet Akaydın,30,2.00 mil. €
Ümraniyespor,Alexandru Epureanu,38,-
Beşiktaş,Romain Saïss,34,3.00 mil. €
Fenerbahçe,Mergim Berisha,26,7.00 mil. €
Adana Demirspor,Jorge Morel,26,1.00 mil. €
Ümraniyespor,Deniz Tabak,20,-
Giresunspor,Hamidou Traoré,28,800 bin €
Giresunspor,Ferhat Kaplan,35,25 bin €
Galatasaray,Abdülkerim Bardakcı,30,7.50 mil. €
Kayserispor,Majid Hosseini,28,1.40 mil. €
Adana Demirspor,Ertaç Özbir,35,300 bin €
Konyaspor,Francisco Calvo,32,1.20 mil. €
İstanbulspor,Melih Kabasakal,28,600 bin €
Fatih Karagümrük,Steven Caulker,32,600 bin €
Giresunspor,Jorman Campuzano,28,1.20 mil. €
Antalyaspor,Haji Wright,26,7.00 mil. €
Trabzonspor,Vitor Hugo,19,30.00 mil. €
Trabzonspor,Marek Hamšík,37,-
Fatih Karagümrük,Matteo Ricci,30,400 bin €
Trabzonspor,Marc Bartra,33,1.00 mil. €
Galatasaray,Milot Rashica,28,7.50 mil. €
Fenerbahçe,Lincoln,36,-
Ümraniyespor,Kartal Kayra Yılmaz,24,2.60 mil. €
Adana Demirspor,Semih Güler,30,800 bin €
Ümraniyespor,Tomislav Glumac,33,75 bin €
Antalyaspor,Güray Vural,36,150 bin €
Alanyaspor,Rúnar Alex Rúnarsson,29,600 bin €
Alanyaspor,Zouhair Feddal,35,-
Başakşehir FK,Caner Erkin,36,175 bin €
Galatasaray,Victor Nelsson,26,14.00 mil. €
Antalyaspor,Sam Larsson,31,1.50 mil. €
Konyaspor,Marlos Moreno,28,600 bin €
MKE Ankaragücü,Milson,48,-
Konyaspor,Muhammet Demir,32,-
Adana Demirspor,Cherif Ndiaye,28,3.50 mil. €
Fatih Karagümrük,Ibrahim Drešević,27,1.70 mil. €
Ümraniyespor,Serkan Kırıntılı,39,-
Alanyaspor,Jure Balkovec,30,1.10 mil. €
Fatih Karagümrük,Magomed Ozdoev,32,1.80 mil. €
Alanyaspor,Ivan Cavaleiro,31,1.20 mil. €
Trabzonspor,Maximiliano Gómez,28,1.70 mil. €
Adana Demirspor,Jonas Svensson,31,1.70 mil. €
Kayserispor,Campanharo,32,600 bin €
Başakşehir FK,Deniz Türüç,31,1.50 mil. €
Antalyaspor,Mustafa Erdilman,20,100 bin €
