Player Name,Age,Team Name,Market Value
Victor Osimhen,25,Galatasaray,75.00 mil. €
Youssef En-Nesyri,27,Fenerbahçe,22.00 mil. €
Sofyan Amrabat,28,Fenerbahçe,22.00 mil. €
Barış Alper Yılmaz,24,Galatasaray,21.00 mil. €
Gabriel Sara,25,Galatasaray,20.00 mil. €
Sebastian Szymański,25,Fenerbahçe,19.00 mil. €
Allan Saint-Maximin,27,Fenerbahçe,18.00 mil. €
Davinson Sánchez,28,Galatasaray,18.00 mil. €
Gedson Fernandes,25,Beşiktaş JK,17.00 mil. €
Simon Banza,28,Trabzonspor,16.00 mil. €
Victor Nelsson,26,Galatasaray,16.00 mil. €
Jayden Oosterwolde,23,Fenerbahçe,15.00 mil. €
Mauro Icardi,31,Galatasaray,15.00 mil. €
Semih Kılıçsoy,19,Beşiktaş JK,15.00 mil. €
Lucas Torreira,28,Galatasaray,15.00 mil. €
Fred,31,Fenerbahçe,15.00 mil. €
Rafa,31,Beşiktaş JK,14.00 mil. €
İsmail Yüksek,25,Fenerbahçe,14.00 mil. €
Roland Sallai,27,Galatasaray,14.00 mil. €
Moatasem Al-Musrati,28,Beşiktaş JK,13.00 mil. €
Ernest Muci,23,Beşiktaş JK,12.00 mil. €
Dominik Livakovic,29,Fenerbahçe,11.00 mil. €
Cengiz Ünder,27,Fenerbahçe,10.00 mil. €
İrfan Can Kahveci,29,Fenerbahçe,10.00 mil. €
David Datro Fofana,21,Göztepe,10.00 mil. €
Cengiz Ünder,27,Fenerbahçe,10.00 mil. €
Alexander Djiku,30,Fenerbahçe,9.00 mil. €
Çağlar Söyüncü,28,Fenerbahçe,9.00 mil. €
Uğurcan Çakır,28,Trabzonspor,8.50 mil. €
Felix Uduokhai,27,Beşiktaş JK,8.50 mil. €
Elias Jelert,21,Galatasaray,8.00 mil. €
Ismail Jakobs,25,Galatasaray,8.00 mil. €
Michy Batshuayi,31,Galatasaray,8.00 mil. €
Milot Rashica,28,Beşiktaş JK,8.00 mil. €
Rodrigo Becão,28,Fenerbahçe,8.00 mil. €
Bright Osayi-Samuel,26,Fenerbahçe,8.00 mil. €
Abdülkerim Bardakcı,30,Galatasaray,7.50 mil. €
Hakim Ziyech,31,Galatasaray,7.00 mil. €
Mert Müldür,25,Fenerbahçe,7.00 mil. €
Filip Kostić,32,Fenerbahçe,6.50 mil. €
Yunus Akgün,24,Galatasaray,6.50 mil. €
Muhammed Cham,24,Trabzonspor,6.00 mil. €
Enis Bardhi,29,Trabzonspor,6.00 mil. €
Krzysztof Piatek,29,İstanbul Başakşehir FK,6.00 mil. €
Amir Hadziahmetovic,27,Çaykur Rizespor,6.00 mil. €
Berat Özdemir,26,İstanbul Başakşehir FK,5.50 mil. €
Oğuz Aydın,24,Fenerbahçe,5.50 mil. €
Victor Hugo,20,Göztepe,5.00 mil. €
Pedro Malheiro,23,Trabzonspor,5.00 mil. €
Rey Manaj,27,Sivasspor,5.00 mil. €
Emirhan Topçu,24,Beşiktaş JK,5.00 mil. €
Kaan Ayhan,30,Galatasaray,4.80 mil. €
Enis Destan,22,Trabzonspor,4.60 mil. €
Kacper Kozlowski,21,Gaziantep FK,4.50 mil. €
Yusuf Sarı,26,Adana Demirspor,4.50 mil. €
Yasin Özcan,18,Kasımpaşa,4.50 mil. €
Kerem Demirbay,31,Galatasaray,4.40 mil. €
